식품군	식품명
곡류 및 그 제품	"귀리"
곡류 및 그 제품	"쌀귀리"
곡류 및 그 제품	"오트밀"
곡류 및 그 제품	"기장"
곡류 및 그 제품	"메밀"
곡류 및 그 제품	"메밀묵"
곡류 및 그 제품	"메밀가루"
곡류 및 그 제품	"멥쌀"
곡류 및 그 제품	"누룽지"
곡류 및 그 제품	"멥쌀 과자"
곡류 및 그 제품	"멥쌀 국수"
곡류 및 그 제품	"멥쌀떡"
곡류 및 그 제품	"미숫가루"
곡류 및 그 제품	"밀"
곡류 및 그 제품	"건빵"
곡류 및 그 제품	"국수"
곡류 및 그 제품	"라면"
곡류 및 그 제품	"마카로니"
곡류 및 그 제품	"스파게티면"
곡류 및 그 제품	"에그누들"
곡류 및 그 제품	"우동면"
곡류 및 그 제품	"중식면"
곡류 및 그 제품	"쫄면"
곡류 및 그 제품	"칼국수면"
곡류 및 그 제품	"빵(건포도빵)"
곡류 및 그 제품	"빵(곰보빵)"
곡류 및 그 제품	"빵(꽈배기)"
곡류 및 그 제품	"빵(난)"
곡류 및 그 제품	"빵(도넛)"
곡류 및 그 제품	"빵(또띠아)"
곡류 및 그 제품	"빵(롤빵)"
곡류 및 그 제품	"빵(마늘빵)"
곡류 및 그 제품	"빵(머핀)"
곡류 및 그 제품	"빵(모닝빵)"
곡류 및 그 제품	"빵(모카빵)"
곡류 및 그 제품	"빵(바게트)"
곡류 및 그 제품	"빵(베이글)"
곡류 및 그 제품	"빵(붕어빵)"
곡류 및 그 제품	"빵(소시지빵)"
곡류 및 그 제품	"빵(식빵)"
곡류 및 그 제품	"빵(옥수수빵)"
곡류 및 그 제품	"빵(와플)"
곡류 및 그 제품	"빵(찐빵)"
곡류 및 그 제품	"빵(카스텔라)"
곡류 및 그 제품	"빵(크루아상)"
곡류 및 그 제품	"빵(크로켓)"
곡류 및 그 제품	"빵(크림빵)"
곡류 및 그 제품	"빵(팥빵)"
곡류 및 그 제품	"빵(페이스트리)"
곡류 및 그 제품	"빵(피칸파이)"
곡류 및 그 제품	"빵(호두과자)"
곡류 및 그 제품	"빵(호떡빵)"
곡류 및 그 제품	"보리"
곡류 및 그 제품	"수수"
곡류 및 그 제품	"시리얼"
곡류 및 그 제품	"아마란스"
곡류 및 그 제품	"옥수수"
곡류 및 그 제품	"옥수수가가루"
곡류 및 그 제품	"율무"
곡류 및 그 제품	"잡곡"
곡류 및 그 제품	"조"
곡류 및 그 제품	"찹쌀"
곡류 및 그 제품	"다식"
곡류 및 그 제품	"찹쌀 과자"
곡류 및 그 제품	"찹쌀 국수"
곡류 및 그 제품	"찹쌀떡"
곡류 및 그 제품	"찹쌀빵"
곡류 및 그 제품	"피"
곡류 및 그 제품	"호밀, 통호밀, 생것"
감자류 및 전분류	"감자,"
감자류 및 전분류	"고구마"
감자류 및 전분류	"당면"
감자류 및 전분류	"곤약"
감자류 및 전분류	"돼지감자"
감자류 및 전분류	"마"
감자류 및 전분류	"아피오스감자"
감자류 및 전분류	"야콘"
감자류 및 전분류	"올방개묵"
감자류 및 전분류	"전분(감자)"
감자류 및 전분류	"전분(고구마)"
감자류 및 전분류	"전분(밀)"
감자류 및 전분류	"전분(쌀)"
감자류 및 전분류	"전분(옥수수)"
감자류 및 전분류	"천마"
감자류 및 전분류	"칡뿌리"
감자류 및 전분류	"칡즙"
감자류 및 전분류	"토란"
감자류 및 전분류	"히카마(얌빈)"
당류	"과당"
당류	"꿀(밤)"
당류	"꿀(아카시아)"
당류	"로열 젤리"
당류	"물엿"
당류	"설탕(각설탕)"
당류	"설탕(백설탕)"
당류	"설탕(황설탕)"
당류	"설탕(흑설탕)"
당류	"시럽(단풍나무)"
당류	"시럽(초콜릿)"
당류	"양갱"
당류	"엿"
당류	"젤라틴"
당류	"조청"
당류	"땅콩 캐러멜"
당류	"다크 초콜릿"
